Team,总投篮出手数,总三分出手数,总罚球出手数,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,投篮命中率,三分命中率,罚球命中率
0,6588.5,1419.6,2012.8,8081.7,3610.7,1826,593.7,460.3,1103.4,0.462791227,0.361721612,0.745528617
1,5465.8,1115.9,1392.1,6351.2,3077.9,1524.2,460.8,383.6,888.1,0.452047276,0.373868626,0.715178507
2,6696,1256.5,1729.1,7646.4,3533,1889.9,591.1,417.1,1131.3,0.437425329,0.357341823,0.774449135
3,6575.6,1461.2,1898.2,7677.6,3619.5,1871.9,599.3,431.1,1142.5,0.433694264,0.347522584,0.783373722
4,6809.5,1814.7,2079.3,8252.3,3738,1787.2,520.2,482.9,1082.5,0.4409428,0.357689976,0.77843505
5,7164.5,1752.7,1714.2,8340.3,3796.6,1871.6,496.8,471.1,1104.7,0.442878079,0.380099275,0.795356434
6,7140,1825.2,1846.2,8441.9,3788.3,1849.3,642.9,394.2,1059.7,0.443515406,0.341113303,0.790813563
7,6653.7,1503.5,2069,7819.5,3303.9,1723,538.1,336.6,1131.9,0.435487022,0.337146658,0.747945868
8,5355.2,1276.5,1653.3,6141.6,2788.9,1316.8,474.2,261.2,967.4,0.422916044,0.343830787,0.715236194
9,6897.3,1576.3,1822,7915.2,3366.8,1688,661,357.8,1105.6,0.433488467,0.340036795,0.759934138
10,6951,1639.3,1867.7,8054.3,3617.2,1749.2,590.6,297.8,1115.5,0.435606388,0.356188617,0.749638593
11,6752.2,2246.5,1938.1,8470.2,3520.9,1805.6,603.8,331,1107.8,0.458161784,0.365056755,0.748671379
12,6882.2,2418.2,1791.6,8550.4,3640.6,1861.9,564.1,317.3,1054.3,0.459678591,0.365850633,0.746037062
13,6960.2,2771.8,1918.1,9059.6,3598.7,1855.2,530.4,334.2,1077.4,0.470144536,0.387257378,0.74532089
14,6639.6,1254.6,1857,7964.8,3169.7,1736.2,600.7,333.5,1007,0.460584975,0.374860513,0.742380183
15,5238.3,923.2,1454.5,6002.3,2660.4,1224.3,458.1,279,958.4,0.437374721,0.340879549,0.763905122
16,6625.7,1442.2,1871.8,7773.6,3455.3,1752.1,578.1,409.8,1199.7,0.449854355,0.355637221,0.695800833
17,7137.2,1570.7,2105.8,8287.4,3734.8,1716.3,678.8,396.9,1153.2,0.445861122,0.316992424,0.67200114
18,7047.4,2040.8,1845.1,8075.4,3684.3,1769.8,623.2,384.4,1042.7,0.432145188,0.347412779,0.696710205
19,7070.8,2144.1,2096,8341.7,3795.7,1579.8,573.9,298.1,1065.4,0.440020931,0.34835129,0.669370229
20,7267.6,1912.5,1592,8314.6,3755.8,1730,576.4,309.1,935.4,0.450602675,0.328627451,0.715766332
21,6794.2,1656.8,2039,8194.9,3561.4,1607.4,582.6,463.9,1212.2,0.441567808,0.353392081,0.781510544
22,5381.5,1056.9,1732.4,6452.9,2902,1238.6,526.3,348.9,879.9,0.437610332,0.374491437,0.777476333
23,6529.3,1587,1913.7,7673.5,3712.6,1634.5,581.9,494.6,1188.2,0.436493958,0.355954631,0.753200606
24,6568.7,1543.8,1904.8,7930.4,3664.7,1640.2,557.9,438.7,1192.4,0.448977728,0.358271797,0.785384292
25,6812.5,1735.9,1813.9,7992.6,3679.9,1755.6,498.1,372.7,1097.3,0.440704587,0.35411026,0.755058162
26,6983.4,1881.3,1861.6,8372.1,3621.5,1750.7,739.4,396.2,1184.1,0.450138901,0.350714931,0.771594327
27,6931,1879.7,1805.6,8622.5,3457.2,1838.8,666.8,406.9,1081.1,0.465776944,0.37580465,0.816626052
28,6546.2,1412.7,1874.2,7529.9,3345.9,1548.6,625.9,409.6,1027.3,0.43002047,0.338854675,0.763472415
