Wteam,Lteam,Wloc
138,180,H
138,145,H
138,187,H
138,131,H
14,138,H
138,61,V
138,47,V
47,138,V
152,138,H
103,138,V
180,138,H
187,138,H
138,110,V
201,138,V
159,138,V
117,138,H
173,138,H
82,138,V
138,110,H
124,138,H
180,138,V
138,166,V
138,124,H
89,138,H
152,138,V
138,145,H
138,21,H
201,138,V
138,131,H
138,28,H
138,0,H
138,103,H
138,194,H
40,138,V
68,138,V
110,138,H
40,138,H
54,138,H
138,110,H
173,138,V
159,138,H
201,138,H
180,138,H
117,138,H
187,138,H
138,124,V
138,152,H
103,138,H
146,139,V
139,1,H
139,48,H
160,139,H
153,139,H
139,83,H
90,139,V
22,139,V
118,139,V
139,167,H
139,132,H
167,139,H
118,139,V
139,104,V
139,160,H
118,139,H
139,146,H
139,160,V
55,139,H
139,97,V
188,139,V
139,167,V
41,139,V
29,139,V
132,139,H
111,139,V
139,195,V
139,167,H
195,139,V
153,139,H
139,104,H
104,139,H
174,139,V
202,139,V
174,139,H
181,139,H
202,139,V
140,161,V
189,140,V
140,147,V
168,140,H
140,9,H
154,140,H
105,140,V
140,112,V
140,35,H
105,140,H
140,112,H
140,105,H
140,23,H
140,16,V
140,35,V
140,84,V
91,140,H
140,196,H
168,140,H
154,140,V
140,133,V
140,56,H
140,42,H
140,147,H
147,140,H
189,140,V
105,140,H
84,140,V
203,140,H
140,196,V
140,119,H
2,140,H
30,140,H
140,175,H
140,161,H
119,140,H
182,140,V
133,140,H
140,161,H
140,203,H
140,112,V
23,140,H
56,140,H
140,63,H
182,140,V
140,49,H
140,16,H
2,140,V
140,182,V
140,98,H
140,154,H
140,126,H
133,140,V
140,112,H
119,140,V
154,140,H
140,105,H
140,105,H
203,140,H
203,140,V
140,203,H
203,140,H
141,57,V
141,120,H
141,134,V
190,141,V
141,197,V
120,141,H
141,169,V
141,64,H
183,141,H
141,176,H
183,141,V
162,141,H
141,155,H
141,162,H
141,10,V
141,92,V
141,85,V
141,71,V
141,99,V
141,31,V
36,141,H
106,141,V
120,141,H
141,197,V
113,141,V
141,127,H
99,141,V
141,148,H
141,134,V
141,3,H
162,141,H
141,57,H
141,169,V
141,36,H
141,17,V
3,141,H
141,50,V
141,24,V
141,43,V
141,71,H
141,162,H
141,176,H
148,141,H
141,127,V
141,92,H
141,31,H
141,190,H
141,176,V
204,141,H
141,169,H
141,155,V
127,141,H
141,106,V
141,148,V
148,141,H
148,141,V
148,141,H
141,148,H
148,141,H
142,149,H
142,184,V
205,142,V
142,135,H
142,86,V
142,18,V
142,93,H
142,198,H
142,114,V
142,184,H
142,177,V
142,198,V
142,170,H
149,142,H
142,65,H
142,121,H
142,135,V
142,107,H
142,184,H
4,142,V
135,142,H
142,163,H
142,170,V
142,177,H
142,51,V
142,58,V
142,114,V
142,205,H
25,142,H
142,100,V
142,65,V
37,142,H
142,32,H
142,149,H
142,163,V
107,142,H
142,51,H
142,156,H
142,72,H
142,198,H
142,135,H
142,100,H
142,128,V
142,149,V
142,163,H
142,177,V
198,142,H
142,128,H
142,114,H
142,198,H
142,198,H
142,191,H
191,142,V
191,142,H
142,191,V
142,191,H
142,191,V
142,184,H
142,184,H
142,184,V
184,142,H
142,184,H
11,142,V
11,142,H
142,11,V
142,11,V
143,199,H
143,185,V
143,199,V
143,192,H
143,108,H
143,171,V
143,192,V
143,115,V
143,38,H
143,66,H
143,150,V
143,108,V
143,157,H
143,171,H
143,66,V
143,38,V
143,26,V
143,45,V
33,143,H
143,33,H
143,12,H
178,143,H
143,185,V
143,108,H
143,157,V
143,129,V
143,171,V
143,87,H
108,143,H
143,12,V
143,5,V
143,26,H
143,206,H
143,59,V
143,52,V
143,185,H
129,143,H
143,150,V
